CODIGOMATERIA,CLASIFMATERIA,MATERIA,ANIO,TERMINO,DIFICULTAD
MEDG2012,G,ANTROPOLOGÍA NUTRICIONAL,2020,0S,"8,27"
MEDG2013,G,ANÁLISIS NUTRICIONAL DE LOS ALIMENTOS,2020,0S,"7,67"
MEDG2014,G,CONSEJERÍA NUTRICIONAL,2020,0S,"8,09"
MEDG2015,G,EPIDEMIOLOGÍA Y SALUD PÚBLICA,2020,0S,"9,32"
MEDG2016,G,FARMACOLOGÍA Y NUTRICIÓN,2020,0S,"8,50"
MEDG2017,G,LEGISLACIÓN Y SOBERANÍA ALIMENTARIA,2020,0S,"7,06"
MEDG2018,G,MORFOFISIOLOGÍA HUMANA I,2020,0S,"8,72"
MEDG2019,G,MORFOFISIOLOGÍA HUMANA II,2020,0S,"8,29"
MEDG2020,G,SALUD COMUNITARIA,2020,0S,"8,49"
MING1023,G,AMBIENTE Y GESTIÓN DE RESIDUOS MINEROS,2020,0S,"8,26"
MING1024,G,EXPLOTACIÓN SUBTERRÁNEA,2020,0S,"8,08"
MING1025,G,FUNDAMENTOS DE MINERÍA,2020,0S,"8,06"
MING1026,G,GEOMÁTICA MINERA,2020,0S,"7,30"
MING1027,G,GEOTECNIA MINERA,2020,0S,"7,52"
MING1029,G,MINERALURGIA Y METALURGIA EXTRACTIVA,2020,0S,"7,43"
MING1030,G,PERFORACIÓN Y VOLADURA,2020,0S,"8,57"
MING1031,G,PLANEAMIENTO Y DISEÑO MINERO,2020,0S,"8,08"
MING1032,G,"VENTILACIÓN, DRENAJE Y SISTEMAS ELÉCTRICOS",2020,0S,"8,47"
MING1033,G,TOPOGRAFÍA MINERA,2021,0S,"8,10"
MING1034,G,GEOLOGÍA MINERA,2020,0S,"8,64"
MING1035,G,GEOMECÁNICA,2020,0S,"7,52"
MING1036,G,PETROGRAFÍA,2020,0S,"8,80"
MING1037,G,SEGURIDAD MINERA,2020,0S,"8,60"
MING1038,G,TECNOLOGÍA DE EQUIPAMIENTOS MINEROS,2020,0S,"8,63"
MING1039,T,MATERIA INTEGRADORA DE MINAS,2020,0S,"8,38"
MING1040,G,EXPLOTACIÓN A CIELO ABIERTO,2020,0S,"8,61"
MING1041,G,PREPARACIÓN MECÁNICA,2020,0S,"7,04"
MTRG1023,G,ANÁLISIS DE FALLAS Y SELECCIÓN DE MATERIALES,2022,0S,"7,83"
MTRG1024,G,CIENCIA E INGENIERÍA DE MATERIALES,2020,0S,"7,45"
MTRG1025,G,COMPORTAMIENTO MECÁNICO,2020,0S,"6,94"
MTRG1026,G,CORROSIÓN Y DEGRADACIÓN DE MATERIALES,2021,0S,"7,30"
MTRG1027,G,DISEÑO DE MATERIALES COMPUESTOS,2022,0S,"7,67"
MTRG1028,G,ESTRUCTURA Y CARACTERIZACIÓN DE MATERIALES,2020,0S,"7,73"
MTRG1029,G,INGENIERÍA DE CERÁMICOS,2021,0S,"7,45"
MTRG1030,G,INGENIERÍA DE METALES,2021,0S,"7,72"
