CODIGOMATERIA,MATERIA_x,REPROBADOS,REGISTRADOS,TASA_RP,CLASIFMATERIA,MATERIA_y,ANIO,TERMINO,DIFICULTAD
CADG2037,PRODUCCIÓN EJECUTIVA,5,239,"2,09",G,PRODUCCIÓN EJECUTIVA,2020,0S,"7,14"
CADG2038,PRODUCCIÓN PARA NUEVOS MEDIOS,3,195,"1,54",G,PRODUCCIÓN PARA NUEVOS MEDIOS,2020,0S,"8,06"
CADG2039,PROYECTO AUDIOVISUAL I,0,285,"0,00",G,PROYECTO AUDIOVISUAL I,2020,0S,"8,40"
CADG2040,PROYECTO AUDIOVISUAL II,4,267,"1,50",G,PROYECTO AUDIOVISUAL II,2020,0S,"8,32"
CADG2042,DISEÑO DE SONIDO,33,317,"10,41",G,DISEÑO DE SONIDO,2020,0S,"7,03"
CADG2043,MATERIA INTEGRADORA DE PRODUCCIÓN PARA MEDIOS DE COMUNICACIÓN,18,287,"6,27",T,MATERIA INTEGRADORA DE PRODUCCIÓN PARA MEDIOS DE COMUNICACIÓN,2020,0S,"8,50"
CADG2045,FOTOGRAFÍA DIGITAL,9,374,"2,41",G,FOTOGRAFÍA DIGITAL,2020,0S,"8,67"
CADG2046,VIDEOGRAFÍA,2,175,"1,14",G,VIDEOGRAFÍA,2021,0S,"7,65"
CCAG1002,EXTENSIONISMO,1,45,"2,22",G,EXTENSIONISMO,2020,0S,"8,96"
CCAG2021,SEMIÓTICA,16,365,"4,38",G,SEMIÓTICA,2020,0S,"7,90"
CCAG2022,ESTUDIO DE CASOS DE CIENCIAS SOCIALES,32,1581,"2,02",G,ESTUDIO DE CASOS DE CIENCIAS SOCIALES,2020,0S,"8,72"
CCAG2023,SOCIOLOGÍA,46,1477,"3,11",G,SOCIOLOGÍA,2020,0S,"8,48"
CCPG1034,ESTRUCTURAS DE DATOS,122,787,"15,50",G,ESTRUCTURAS DE DATOS,2020,0S,"7,01"
CCPG1035,MATERIA INTEGRADORA DE COMPUTACIÓN,26,566,"4,59",T,MATERIA INTEGRADORA DE COMPUTACIÓN,2020,0S,"8,90"
